Row Labels,StdDev of # Surviving (per m2),,
Fescue,35.19222576,,
1,0,,
3,8.082903769,,
6,19.79898987,,
12,17.61628035,,
24,31.04298096,,
48,30.24345659,,
Prairie,40.64230679,,
1,0,,
3,0,,
6,18.07392228,,
12,13.40397951,,
24,19.79898987,,
48,23.90955179,,
Grand Total,37.98086491,,
,,,
,,,
,,,
Fescue,60.66666667,35.19222576,
1,14,0,14
3,35,8.082903769,37.28666667
6,56,19.79898987,61.60116655
12,73.5,17.61628035,78.48367446
24,87.5,31.04298096,96.28210997
48,98,30.24345659,106.5559232
Prairie,71.16666667,40.64230679,82.66444158
1,14,0,14
3,42,0,42
6,63,18.07392228,68.11314211
12,80.5,13.40397951,84.29200768
24,98,19.79898987,103.6011665
48,129.5,23.90955179,136.2640512
